Game,AppId
A Shelter Full of Cats,3087650
A Shooty Bit,463480
A Sirius Game,392930
A Sky Full of Stars,745960
A Space for the Unbound,1201270
A Step Into Darkness,578600
A Story About My Uncle,278360
A Street Cat's Tale,1140570
A Tale of Caos: Overture,500320
A Tale of Two Kingdoms,603870
A Timely Intervention,461340
A Total War Saga: Thrones of Britannia,712100
A Tower Full of Cats,2179170
A Town Uncovered,1330190
A Trip to Yugoslavia: Director's Cut,545410
A Valley Without Wind,209330
A Vampyre Story,313870
A Virus Named TOM,207650
A Way Out,1222700
A Wild Catgirl Appears!,429580
A Wizard's Lizard,280040
A Wolf in Autumn,395270
A YEAR OF SPRINGS,1688580
A-Escape VR,538330
A-Gents,460910
A-men,264460
A-Men 2,294190
A-Train 9 V4.0 : Japan Rail Simulator,278550
A-Train: All Aboard! Tourism,1685460
A.D. 2047,1523370
A.I. Invasion,386540
A.R.E.S.,92300
A.R.E.S. Extinction Agenda EX,315340
A.V.,341750
A.V.A. Alliance of Valiant Arms™,102700
Aaero,499890
Aarklash: Legacy,222640
Abalon,1681840
Abalone,279480
Abandon Ship,551860
Abathor,2295610
ABC Coloring Town,478010
ABD: A Beautiful Day,384920
Abduction Bit,550810
ABO MANDO,429950
Abomi Nation,1193590
Aborigenus,611860
"About Love, Hate and the other ones",277680
Above - VR,547040
Abrix the robot,461850
Absolute Drift,320140
Absolute Tactics: Daughters of Mercy,1636660
Absolute Territory,1130880
Abyss Cave,348740
Abyss Odyssey,255070
ABYSS OF THE SACRIFICE,1442160
Abyss Raiders: Uncharted,348730
Abyss School,2473710
Abyss: The Wraiths of Eden,284710
ABZÛ,384190
Academagia: The Making of Mages,533480
Academia : School Simulator,672630
Acaratus,376410
Acceleration of SUGURI 2,390710
Acceleration of Suguri X-Edition,265170
Access Denied,562570
Accounting+,927270
AccrO,1366810
ACE COMBAT™7: SKIES UNKNOWN,502500
Ace of Protectors,398150
Ace of Seafood,450500
Ace of Words,398680
Aces and Adventures,1815570
Aces of the Luftwaffe - Squadron,859350
Achievement printer,806140
Achilles: Legends Untold,1314000
Acid Flip,494820
Acro Storm,546610
Across the Obelisk,1385380
Act of Aggression,318020
Acting Lessons,1045520
Action Alien,382080
Action Henk,285820
Action Legion,431630
Actraiser Renaissance,1393370
Actual Sunlight,288040
Ad Fundum,2647820
Ad Infinitum,1234430
Adam Wolfe,483420
Adam's Venture Chronicles,362410
Adam's Venture Origins,400360
ADAPTR,516570
Adele: Following the Signs,457980
Adios,1271400
ADIOS Amigos,725120
ADOM (Ancient Domains Of Mystery),333300
Adorable Crush,1266800
Adorable Witch,1605010
Adorable Witch 2,1709500
Adorable Witch 3,1913490
Adorable Witch 4 ：Lust,2016370
Adorable Witch5 : lingering,2271980
Adorables,366760
Advent Rising,3800
Adventure Apes and the Mayan Mystery,461830
AdVenture Capitalist,346900
Adventure in the Tower of Flight,368830
ADventure Lib,374950
Adventure of a Lifetime,820730
Adventure World,465540
Adventurer Manager,280320
Adventures of Bertram Fiddle: Episode 2: A Bleaker Predicklement,489930
Adventures Of Fluzz,523670
Adventures On The Polluted Islands,496690
Adventurezator: When Pigs Fly,300280
Adventuring gentleman,564280
AdvertCity,365800
Aegis,530520
Aeon,543390
Aeon Command,304670
Aeon Must Die!,1089930
Aeon's End,1063580
AER Memories of Old,331870
AereA,573660
Aerena,247830
AERENA - Masters Edition,333530
Aerial Destruction,592730
Aero's Quest,367780
Aesthetic Melody,618360
Aeternum,454750
Aethernaut,1360720
Affliction,617590
AffordaGolf Online,567040
After All,365110
"After I met that catgirl, my questlist got too long!",1071220
After The End: The Harvest,386140
Afterdream,1995880
Afterfall InSanity Extended Edition,224420
AFTERGRINDER,618310
Afterimage,1701520
Against the Storm,1336490
Agarest Zero,260130
Agarest: Generations of War,237890
Agarest: Generations of War 2,312790
Agatha Christie - The ABC Murders,374900
Agatha Knife,618950
Age of Barbarian Extended Cut,402880
Age of Castles: Warlords,371710
Age of Conquest IV,314970
Age of Darkness: Final Stand,1426450
Age of Defense,603320
Age of Empires II (2013),221380
Age of Empires II: Definitive Edition,813780
Age of Empires III: Definitive Edition,933110
Age of Empires IV: Anniversary Edition,1466860
Age of Empires: Definitive Edition,1017900
Age of Fear 2: The Chaos Lord GOLD,341150
Age of Fear 3: The Legend,431700
Age of Fear 4: The Iron Killer,431950
Age of Fear: The Undead King,351480
Age of Fear: Total,431520
Age of Gladiators,442500
Age of Gladiators II: Death League,639300
Age of Gladiators II: Rome,783590
Age of Heroes: Conquest,599060
Age of Invention,397770
Age of Mythology: Extended Edition,266840
Age of Steel: Recharge,421060
Age of Survival,369080
Age of Undead,2012610
Age of Wonders III,226840
Age of Wonders: Planetfall,718850
Ageless,1210150
Agenda,513460
Agent Awesome,345220
Agent Walker: Secret Journey,497580
